,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
192,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2
193,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1
194,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2
195,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2
196,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2
197,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1
198,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1
199,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2
200,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1
201,1,1,1,1,1,1,1,0,1,2,1,1,1,2,2
202,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
203,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1
204,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1
205,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2
206,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1
207,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2
208,1,2,1,1,1,2,2,0,2,2,1,1,1,2,2
209,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2
210,1,1,1,1,1,2,1,1,2,2,1,0,1,1,2
211,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2
212,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2
213,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1
214,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
215,1,1,1,1,1,1,2,1,2,0,2,1,2,1,2
216,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1
217,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1
218,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1
219,1,1,1,1,1,1,1,2,1,2,1,1,2,2,0
220,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1
221,1,1,1,1,1,1,2,1,1,1,2,0,2,2,2
222,1,1,1,1,1,1,2,1,1,0,2,2,2,1,1
223,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2
